Time,Country, traffic_injury, CVD ,unintentional_poisoning ,Suicide_mortality_rate,total_mortality,final_consumption_expenditure ,Inflation_GDP_deflator ,Total_natural_resources_rents
2000,Bangladesh,10.8,23.2,0.3,6,17.1,57.95258432,2.558021881,2.869597139
2000,Japan,12.5,11.4,0.3,23.9,36.7,75.00810046,3.44665935,0.5781924
2000,Philippines,9.8,23.1,0.3,1.8,11.9,54.53459703,4.593831662,3.911229482
2000,United Kingdom,6.9,16.5,0.3,8.6,15.8,46.73235842,2.062792614,2.595486693
2001,Australia,9.3,12.6,0.3,12.2,21.8,63.73898114,3.644970161,2.37183391
2001,Bangladesh,12,22.8,0.3,5.7,18,60.54952792,1.792397966,0.101482373
2001,Canada,9.2,14,0.3,12.2,21.7,53.66877113,-1.33626009,0.011096253
2001,Japan,12.1,11.1,0.3,23.2,35.6,36.17582045,10.94798496,41.68568377
2001,Philippines,9.7,23.8,0.3,1.5,11.5,66.67674101,1.690837262,0.996555579
2001,United Kingdom,7,16,0.3,8.3,15.6,71.71788085,5.816933559,0.464768413
2002,Australia,9.1,12.3,0.3,11.3,20.7,58.59000403,4.617100009,3.171152473
2002,Bangladesh,13.5,22.9,0.3,5.3,19.1,74.52283781,3.261160132,0.62475005
2002,Japan,11.3,10.8,0.3,23.8,35.4,55.09416488,2.044025945,3.247753216
2002,United Kingdom,7.1,15.7,0.3,8.3,15.7,45.51980966,2.047049457,2.480777471
2003,Bangladesh,14.9,22.9,0.3,5.1,20.3,64.14685743,3.215616017,2.360233798
2003,Canada,9.1,13.5,0.3,12.4,21.8,59.49358994,3.033592026,0.111916226
2003,Italy,11.8,12.7,0.3,7.4,19.5,54.42205916,-1.084879848,0.010688255
2004,Bangladesh,16.4,22.8,0.3,4.9,21.6,37.34338737,-1.646677592,33.89591788
2004,Italy,10.9,12,0.3,7.2,18.4,66.6537364,1.851017632,0.96617437
2005,Australia,8.3,11.4,0.3,11.2,19.8,72.9024635,5.618862266,0.404065987
2005,Bangladesh,17.6,23.3,0.3,4.9,22.8,57.87045431,2.835819531,2.73476829
2005,Canada,9.5,12.7,0.3,12.2,22,74.1384127,3.892867435,0.758870103
2005,Italy,10.3,11.8,0.3,6.7,17.3,56.01158428,0.843483727,2.356945633
2006,Bangladesh,17.6,23.7,0.3,5,22.9,44.91301883,0.602099078,1.873280296
2006,Italy,10.3,11.4,0.3,6.7,17.3,63.02964675,3.715683777,2.215796534
2006,United Kingdom,6.6,13.8,0.3,7.8,14.7,59.12575729,3.27434188,0.098335399
2007,Bangladesh,16.9,23.4,0.3,4.9,22.1,55.06246488,-1.390978615,0.010972852
2007,Italy,9.7,11.2,0.3,6.7,16.7,37.05089624,5.956874285,31.69139473
2007,United Kingdom,5.8,13.6,0.3,7.6,13.7,66.29850731,2.063440996,0.842698834
2008,Bangladesh,16.9,22.7,0.3,4.7,21.9,73.10427178,4.231091814,0.479800977
2008,Canada,8,11.9,0.3,11.5,19.8,58.3995215,3.007398181,2.16291888
2008,Philippines,10,24.6,0.3,2,12.3,74.68607907,5.815816648,0.74482706
2008,Italy,8.9,10.9,0.3,6.9,16.1,55.67558909,1.255872329,2.92957696
2008,United Kingdom,5.2,13.2,0.3,8.1,13.6,42.707785,2.603177719,1.952621212
2009,Bangladesh,16.9,22.1,0.3,4.6,21.8,61.50375761,3.867798086,2.139106991
2009,Canada,7.2,11.5,0.3,12,19.5,59.38965645,3.147807929,0.089196751
2009,Italy,8,10.8,0.3,7,15.3,54.89712551,-1.607703708,0.011647631
2009,United Kingdom,4.3,12.7,0.3,8,12.6,34.14587416,2.316558662,37.35722583
2010,Bangladesh,16.9,21.5,0.3,4.4,21.6,65.59346651,2.737123144,0.788019517
2010,Canada,7.3,11.1,0.3,12.1,19.7,73.50465871,3.192131329,0.688742163
2010,Italy,7.3,10.4,0.3,6.9,14.5,57.99164925,3.244911434,2.871694329
2010,United Kingdom,3.7,12.4,0.3,7.8,11.8,73.63770369,4.56213638,0.765082434
2011,Bangladesh,16.8,20.2,0.3,4,21.1,54.71834002,2.444373551,4.030162238
2011,Canada,6.3,10.8,0.3,11.3,17.9,40.6109056,6.95199268,4.650601857
2011,Italy,7.2,10.5,0.3,7.4,14.9,58.35154794,5.725413227,3.048979324
2011,United Kingdom,3.4,12,0.3,8.3,12,58.98887228,2.670183681,0.082481
2012,Bangladesh,15.9,19.4,0.3,3.7,19.9,54.73026208,-1.1247664,0.011361668
